run,qrels,p,all,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
bm25_orig_NC1_5,misinfo-qrels-graded.harmful-only,0.95,0.0809,0.0353,0.1135,0.2077,0.0638,0.0003,0.0000,0.0334,0.0000,0.0158,0.0396,0.2400,0.1677,NA,0.0542,0.0000,NA,0.2593,0.0001,NA,0.0000,0.0000,0.0960,NA,NA,NA,NA,NA,0.3219,0.3341,NA,0.0000,0.0250,NA,0.1044,NA,0.0000,0.4490,NA,0.0077,0.0000,NA,NA,0.0162,0.0000,NA,0.0050,NA,NA,0.0000
bm25_NC1_1,misinfo-qrels-graded.helpful-only,0.95,0.1308,0.0111,0.0375,0.0075,0.0358,0.0023,0.4253,0.1887,0.0873,0.1975,0.3529,0.1052,0.0000,NA,0.0539,0.0406,NA,0.3638,0.1621,NA,0.0768,0.1546,0.1012,NA,NA,NA,NA,0.0087,0.1039,0.2329,NA,0.2892,0.0570,0.0140,0.0602,NA,0.0016,0.1799,NA,0.0903,0.1389,NA,NA,0.0901,0.2872,0.1055,0.4457,NA,NA,0.0702
bm25_NC1_1,misinfo-qrels-graded.harmful-only,0.95,0.1000,0.0055,0.1054,0.2412,0.2055,0.0000,0.0000,0.0000,0.1542,0.1481,0.0906,0.0839,0.2763,NA,0.0000,0.0000,NA,0.0293,0.0014,NA,0.0361,0.0095,0.0690,NA,NA,NA,NA,NA,0.4198,0.0424,NA,0.0000,0.0650,NA,0.1253,NA,0.0000,0.6705,NA,0.1393,0.0000,NA,NA,0.2735,0.0000,NA,0.0046,NA,NA,0.0041
bm25_NC1_2,misinfo-qrels-graded.helpful-only,0.95,0.0899,0.0095,0.0256,0.0000,0.0000,0.0020,0.2411,0.1099,0.0902,0.2618,0.0001,0.0207,0.0064,NA,0.0213,0.1316,NA,0.4109,0.0283,NA,0.0309,0.0245,0.0111,NA,NA,NA,NA,0.3493,0.0770,0.0213,NA,0.1370,0.0009,0.0041,0.0702,NA,0.0088,0.1433,NA,0.2502,0.1146,NA,NA,0.0357,0.3399,0.1413,0.0281,NA,NA,0.0006
bm25_NC1_2,misinfo-qrels-graded.harmful-only,0.95,0.1040,0.0298,0.0954,0.1023,0.0989,0.0000,0.0000,0.2977,0.0436,0.1100,0.0114,0.3173,0.2292,NA,0.0421,0.0000,NA,0.0386,0.0032,NA,0.0029,0.0186,0.0918,NA,NA,NA,NA,NA,0.7652,0.0001,NA,0.0000,0.1159,NA,0.0252,NA,0.0000,0.4539,NA,0.1117,0.0000,NA,NA,0.3210,0.0000,NA,0.0018,NA,NA,0.0000
bm25_NC1_3,misinfo-qrels-graded.helpful-only,0.95,0.0904,0.0092,0.0432,0.0032,0.0232,0.1992,0.3523,0.1608,0.0952,0.0281,0.3043,0.0057,0.0127,NA,0.0255,0.0172,NA,0.0187,0.0530,NA,0.0454,0.1265,0.1030,NA,NA,NA,NA,0.1840,0.0022,0.0525,NA,0.0469,0.0313,0.0107,0.0231,NA,0.0046,0.1749,NA,0.2529,0.0027,NA,NA,0.1455,0.2896,0.0697,0.0779,NA,NA,0.1690
bm25_NC1_3,misinfo-qrels-graded.harmful-only,0.95,0.1144,0.0067,0.2436,0.0400,0.1121,0.3402,0.0000,0.0000,0.0238,0.2344,0.0533,0.0505,0.1997,NA,0.0927,0.0000,NA,0.0000,0.0187,NA,0.0000,0.0005,0.1510,NA,NA,NA,NA,NA,0.7647,0.0000,NA,0.0000,0.2102,NA,0.0124,NA,0.0000,0.7083,NA,0.0363,0.0000,NA,NA,0.1031,0.0000,NA,0.2153,NA,NA,0.0435
bm25_NC1_4,misinfo-qrels-graded.helpful-only,0.95,0.0880,0.0378,0.0825,0.0795,0.0496,0.0692,0.3802,0.4187,0.2110,0.0482,0.1470,0.0128,0.0284,NA,0.0183,0.0821,NA,0.0962,0.0977,NA,0.1188,0.0514,0.1196,NA,NA,NA,NA,0.1763,0.0103,0.0340,NA,0.0400,0.0006,0.0000,0.0387,NA,0.0042,0.0353,NA,0.0019,0.1279,NA,NA,0.0919,0.0578,0.1315,0.1062,NA,NA,0.0759
bm25_NC1_4,misinfo-qrels-graded.harmful-only,0.95,0.0949,0.0611,0.4141,0.2134,0.1483,0.0803,0.0000,0.0016,0.0254,0.0000,0.0613,0.0209,0.1482,NA,0.0638,0.0000,NA,0.0004,0.0000,NA,0.0066,0.0000,0.0321,NA,NA,NA,NA,NA,0.7206,0.0048,NA,0.0002,0.0094,NA,0.0001,NA,0.0000,0.4700,NA,0.2331,0.0000,NA,NA,0.3191,0.0000,NA,0.0000,NA,NA,0.0012
bm25_NC1_5,misinfo-qrels-graded.helpful-only,0.95,0.0894,0.0035,0.0507,0.1948,0.0000,0.0001,0.3502,0.1210,0.0341,0.0036,0.0304,0.0224,0.0002,NA,0.0421,0.0369,NA,0.1099,0.0565,NA,0.0620,0.0789,0.1058,NA,NA,NA,NA,0.2951,0.0424,0.0011,NA,0.0443,0.1036,0.0882,0.2318,NA,0.0009,0.1343,NA,0.2192,0.0654,NA,NA,0.1150,0.2909,0.0227,0.1683,NA,NA,0.0027
bm25_NC1_5,misinfo-qrels-graded.harmful-only,0.95,0.0985,0.0056,0.1995,0.2618,0.1320,0.0000,0.0000,0.0090,0.1078,0.2023,0.0069,0.0583,0.2122,NA,0.0049,0.0000,NA,0.2592,0.0000,NA,0.0000,0.0001,0.0210,NA,NA,NA,NA,NA,0.5960,0.0000,NA,0.0000,0.0129,NA,0.0226,NA,0.0000,0.6552,NA,0.1505,0.0000,NA,NA,0.2344,0.0000,NA,0.0000,NA,NA,0.0000
bm25_orig_RC1_1,misinfo-qrels-graded.helpful-only,0.95,0.1153,0.0203,0.0263,0.0493,0.0000,0.0165,0.3601,0.1283,0.1361,0.1463,0.3514,0.0290,0.1040,NA,0.0283,0.0792,NA,0.3638,0.1340,NA,0.0908,0.0163,0.0557,NA,NA,NA,NA,0.1093,0.1039,0.0055,NA,0.0157,0.0119,0.2021,0.0416,NA,0.0016,0.1799,NA,0.0034,0.1815,NA,NA,0.0735,0.3754,0.0438,0.4078,NA,NA,0.1440
