run,qrels,p,all,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
bm25_orig_5,misinfo-qrels-graded.harmful-only,0.95,0.0445,0.0000,0.0451,NA,0.0000,NA,0.0428,0.0005,0.0000,0.0858,0.0000,NA,NA,0.0000,0.0712,0.0000,0.0006,0.0692,0.0000,0.2123,0.1517,NA,0.0041,NA,NA,0.0240,NA,0.0006,0.0000,NA,0.0001,0.0000,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.1105,0.0000,NA,0.0000,0.2070,0.1347,NA,0.0145,NA,0.2491,0.0013
bm25_NC1_1,misinfo-qrels-graded.helpful-only,0.95,0.2511,0.0438,0.5659,0.0493,0.1517,0.1321,0.0777,0.2767,0.4872,0.1254,0.3511,0.6375,0.0454,0.3847,0.2211,0.0005,0.2167,0.5559,0.2045,0.0022,0.0758,0.1699,0.2891,0.8533,0.0280,0.0853,0.5428,0.0007,0.0465,0.1211,0.2168,0.1599,0.6778,NA,0.4150,NA,0.0091,0.2527,0.1547,0.0000,0.2085,0.8945,0.0384,0.0000,0.5899,0.0096,NA,0.4436,NA,0.0795,0.6604
bm25_NC1_1,misinfo-qrels-graded.harmful-only,0.95,0.0616,0.0000,0.1788,NA,0.0000,NA,0.0034,0.0003,0.0000,0.0599,0.0010,NA,NA,0.0010,0.0629,0.0000,0.0000,0.1720,0.0000,0.2583,0.2017,NA,0.0000,NA,NA,0.2025,NA,0.0000,0.0312,NA,0.0000,0.0124,NA,NA,NA,NA,NA,NA,0.0165,0.0000,0.0025,0.0000,NA,0.0000,0.2851,0.0960,NA,0.0001,NA,0.3847,0.0000
bm25_NC1_2,misinfo-qrels-graded.helpful-only,0.95,0.2024,0.1796,0.4100,0.4540,0.1760,0.0496,0.0566,0.0104,0.3132,0.1448,0.0022,0.7236,0.0634,0.0780,0.3536,0.3251,0.3200,0.5097,0.2078,0.0368,0.0370,0.2633,0.1885,0.0551,0.0000,0.0100,0.7336,0.0010,0.0000,0.0010,0.0843,0.0004,0.1918,NA,0.1985,NA,0.0000,0.0142,0.0027,0.0161,0.0269,0.1352,0.8863,0.0003,0.3062,0.0116,NA,0.8595,NA,0.1823,0.6897
bm25_NC1_2,misinfo-qrels-graded.harmful-only,0.95,0.0278,0.0027,0.0412,NA,0.0000,NA,0.0608,0.0000,0.0000,0.0473,0.0000,NA,NA,0.0003,0.0699,0.0000,0.0000,0.2570,0.0000,0.0000,0.0196,NA,0.0011,NA,NA,0.0062,NA,0.0736,0.0083,NA,0.0000,0.0017,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.0148,0.0000,NA,0.0000,0.0967,0.1282,NA,0.0007,NA,0.0598,0.0000
bm25_NC1_3,misinfo-qrels-graded.helpful-only,0.95,0.1715,0.0780,0.7012,0.4527,0.0494,0.1607,0.0015,0.0025,0.3513,0.1015,0.0156,0.5666,0.1483,0.0005,0.3951,0.0585,0.0437,0.3298,0.0198,0.0403,0.2602,0.1648,0.0728,0.1945,0.0139,0.1173,0.0795,0.0005,0.0000,0.0001,0.2626,0.1030,0.6858,NA,0.2717,NA,0.0124,0.2971,0.3231,0.0306,0.0643,0.2902,0.0420,0.0000,0.0683,0.0201,NA,0.1642,NA,0.0885,0.7426
bm25_NC1_3,misinfo-qrels-graded.harmful-only,0.95,0.0492,0.0001,0.0820,NA,0.0000,NA,0.0056,0.0000,0.1021,0.0137,0.0000,NA,NA,0.0006,0.0045,0.0000,0.0000,0.4064,0.0000,0.0078,0.0020,NA,0.0000,NA,NA,0.3126,NA,0.0291,0.0016,NA,0.0000,0.0803,NA,NA,NA,NA,NA,NA,0.1307,0.0000,0.0000,0.0000,NA,0.0000,0.0247,0.1709,NA,0.0039,NA,0.1778,0.0192
bm25_NC1_4,misinfo-qrels-graded.helpful-only,0.95,0.1679,0.0964,0.2013,0.5267,0.0456,0.5363,0.0517,0.0522,0.2672,0.0693,0.0181,0.5595,0.0368,0.0000,0.4358,0.0119,0.1825,0.2212,0.2275,0.1640,0.0000,0.1761,0.2342,0.2609,0.0118,0.0001,0.2557,0.0000,0.0000,0.0000,0.1420,0.0338,0.4128,NA,0.2499,NA,0.1612,0.0002,0.0059,0.0033,0.0005,0.0546,0.5380,0.0000,0.3380,0.0009,NA,0.8334,NA,0.1969,0.1078
bm25_NC1_4,misinfo-qrels-graded.harmful-only,0.95,0.0468,0.0000,0.0027,NA,0.0000,NA,0.0001,0.0015,0.0318,0.0010,0.0000,NA,NA,0.0000,0.1072,0.0000,0.0000,0.3342,0.0000,0.0084,0.0000,NA,0.2049,NA,NA,0.0123,NA,0.2751,0.0699,NA,0.0000,0.0001,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.0031,0.0000,NA,0.0000,0.2012,0.0558,NA,0.0001,NA,0.1868,0.0001
bm25_NC1_5,misinfo-qrels-graded.helpful-only,0.95,0.1643,0.2528,0.3774,0.4010,0.2083,0.0497,0.0864,0.0078,0.1175,0.1261,0.0525,0.5977,0.0234,0.3367,0.0993,0.0297,0.0000,0.3972,0.0484,0.0008,0.0571,0.1192,0.1576,0.1867,0.0000,0.0090,0.8009,0.0201,0.0000,0.0001,0.1922,0.0330,0.4629,NA,0.1129,NA,0.0000,0.0002,0.0151,0.0004,0.2110,0.1065,0.5434,0.0000,0.0961,0.0049,NA,0.4831,NA,0.2046,0.5289
bm25_NC1_5,misinfo-qrels-graded.harmful-only,0.95,0.0431,0.0000,0.1059,NA,0.0000,NA,0.0237,0.0000,0.3644,0.0001,0.0000,NA,NA,0.0057,0.0042,0.0000,0.0000,0.0319,0.0000,0.0001,0.0088,NA,0.0069,NA,NA,0.1156,NA,0.0035,0.1024,NA,0.0000,0.0000,NA,NA,NA,NA,NA,NA,0.0003,0.0000,0.1540,0.0000,NA,0.0000,0.0991,0.1218,NA,0.0000,NA,0.2141,0.0172
bm25_orig_NC1_1,misinfo-qrels-graded.helpful-only,0.95,0.2857,0.1659,0.6428,0.3897,0.1755,0.6225,0.2695,0.2296,0.1939,0.2123,0.3511,0.8333,0.0191,0.3763,0.0813,0.0200,0.1652,0.4477,0.2971,0.0034,0.3868,0.1749,0.2923,0.8627,0.0000,0.1253,0.1847,0.3614,0.0213,0.0519,0.1602,0.0284,0.7004,NA,0.3610,NA,0.1680,0.0047,0.1421,0.0394,0.4753,0.9266,0.4428,0.0000,0.0229,0.0474,NA,0.9106,NA,0.0795,0.6752
bm25_orig_NC1_1,misinfo-qrels-graded.harmful-only,0.95,0.0689,0.0000,0.0904,NA,0.0000,NA,0.0000,0.0063,0.0000,0.0003,0.0010,NA,NA,0.4402,0.1206,0.0000,0.0000,0.0747,0.0000,0.2077,0.1470,NA,0.0000,NA,NA,0.3500,NA,0.1274,0.0031,NA,0.0008,0.0036,NA,NA,NA,NA,NA,NA,0.0018,0.0000,0.0253,0.0000,NA,0.0000,0.0638,0.1421,NA,0.0022,NA,0.3847,0.0132
bm25_orig_NC1_2,misinfo-qrels-graded.helpful-only,0.95,0.2689,0.2465,0.1544,0.7420,0.1024,0.6046,0.7603,0.1946,0.9083,0.1795,0.0427,0.5068,0.1647,0.0000,0.1669,0.0797,0.1507,0.2047,0.2707,0.0780,0.5172,0.2280,0.0117,0.5539,0.0000,0.0002,0.0218,0.2599,0.0093,0.2494,0.2253,0.1163,0.6786,NA,0.6613,NA,0.2415,0.0020,0.2775,0.0057,0.3833,0.7017,0.0762,0.0000,0.2954,0.0282,NA,0.4164,NA,0.1662,0.6840
bm25_orig_NC1_2,misinfo-qrels-graded.harmful-only,0.95,0.0339,0.0000,0.0011,NA,0.0000,NA,0.0294,0.0635,0.0000,0.0260,0.0000,NA,NA,0.0000,0.0643,0.0000,0.0000,0.1026,0.0000,0.1778,0.0198,NA,0.0011,NA,NA,0.0031,NA,0.0059,0.0002,NA,0.0002,0.0465,NA,NA,NA,NA,NA,NA,0.0906,0.0004,0.0058,0.0000,NA,0.0000,0.1424,0.2387,NA,0.0000,NA,0.0665,0.0000
bm25_orig_NC1_3,misinfo-qrels-graded.helpful-only,0.95,0.2622,0.2660,0.0068,0.7277,0.0987,0.7050,0.3688,0.1471,0.4602,0.1248,0.0738,0.5245,0.0178,0.2141,0.3469,0.1724,0.1562,0.4089,0.2241,0.0903,0.3846,0.2423,0.1147,0.5025,0.0007,0.0004,0.6923,0.0677,0.0053,0.0007,0.1480,0.0004,0.6503,NA,0.3140,NA,0.1104,0.2512,0.0187,0.0000,0.5149,0.7094,0.8735,0.0000,0.5255,0.0095,NA,0.3432,NA,0.1024,0.3462
bm25_orig_NC1_3,misinfo-qrels-graded.harmful-only,0.95,0.0679,0.0000,0.1155,NA,0.0000,NA,0.0925,0.0015,0.0001,0.0000,0.0000,NA,NA,0.4308,0.0780,0.0000,0.0000,0.1205,0.0000,0.4521,0.1788,NA,0.0031,NA,NA,0.0760,NA,0.1789,0.0000,NA,0.0000,0.0000,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.0077,0.0000,NA,0.0000,0.2432,0.0537,NA,0.0000,NA,0.1388,0.0013
bm25_orig_NC1_4,misinfo-qrels-graded.helpful-only,0.95,0.2347,0.0578,0.0035,0.9121,0.1484,0.3709,0.0013,0.1953,0.5899,0.1978,0.1891,0.8273,0.1440,0.0030,0.1066,0.0019,0.5812,0.4027,0.3872,0.0358,0.0868,0.2222,0.2891,0.3963,0.0000,0.0113,0.4283,0.0004,0.0199,0.0002,0.2417,0.0001,0.6830,NA,0.8262,NA,0.0000,0.0025,0.0781,0.0279,0.3549,0.0770,0.4388,0.0000,0.0470,0.0135,NA,0.6900,NA,0.0797,0.6230
bm25_orig_NC1_4,misinfo-qrels-graded.harmful-only,0.95,0.0354,0.0109,0.0132,NA,0.0000,NA,0.0065,0.0625,0.0000,0.0008,0.0000,NA,NA,0.0000,0.0256,0.0000,0.0000,0.1772,0.0000,0.1253,0.0004,NA,0.0000,NA,NA,0.0044,NA,0.0261,0.0000,NA,0.0008,0.0000,NA,NA,NA,NA,NA,NA,0.0000,0.0438,0.0000,0.0000,NA,0.0000,0.0010,0.2708,NA,0.1127,NA,0.2491,0.0027
bm25_orig_NC1_5,misinfo-qrels-graded.helpful-only,0.95,0.2275,0.2785,0.2570,0.6914,0.2065,0.7086,0.4859,0.1616,0.2205,0.1316,0.0329,0.8676,0.0346,0.2155,0.4989,0.0166,0.1298,0.3025,0.0476,0.0367,0.4281,0.1718,0.1775,0.1036,0.0000,0.0355,0.5659,0.2037,0.0139,0.0304,0.1713,0.0296,0.5838,NA,0.3990,NA,0.0085,0.0080,0.0018,0.0000,0.2788,0.0295,0.5307,0.0085,0.1514,0.0011,NA,0.1502,NA,0.4845,0.5730
bm25_orig_NC1_5,misinfo-qrels-graded.harmful-only,0.95,0.0514,0.0001,0.0688,NA,0.0000,NA,0.0381,0.0000,0.0000,0.0458,0.0000,NA,NA,0.3098,0.1231,0.0000,0.0001,0.0059,0.0000,0.2993,0.0683,NA,0.0003,NA,NA,0.1890,NA,0.0349,0.0000,NA,0.0001,0.0454,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.0748,0.0000,NA,0.0000,0.2070,0.0741,NA,0.0295,NA,0.0307,0.0000
bm25_orig_RC1_1,misinfo-qrels-graded.helpful-only,0.95,0.2384,0.4179,0.3861,0.4586,0.1096,0.6383,0.0093,0.2282,0.3967,0.1254,0.0004,0.7240,0.0640,0.3490,0.0813,0.0077,0.3265,0.5559,0.4499,0.0139,0.1936,0.2290,0.2891,0.4902,0.0824,0.0853,0.3703,0.0452,0.0020,0.0266,0.1438,0.0764,0.0090,NA,0.5444,NA,0.1078,0.1059,0.1378,0.0188,0.4797,0.1005,0.0000,0.0000,0.4325,0.0083,NA,0.9106,NA,0.0795,0.6559
bm25_orig_RC1_1,misinfo-qrels-graded.harmful-only,0.95,0.0813,0.0000,0.1004,NA,0.0000,NA,0.0527,0.0052,0.0000,0.0599,0.0000,NA,NA,0.4457,0.1206,0.0000,0.0000,0.1720,0.0000,0.1787,0.1047,NA,0.0000,NA,NA,0.2025,NA,0.2893,0.0009,NA,0.0004,0.0051,NA,NA,NA,NA,NA,NA,0.0529,0.0001,0.0145,0.0000,NA,0.0000,0.1979,0.1931,NA,0.0022,NA,0.3847,0.0189
bm25_orig_RC1_2,misinfo-qrels-graded.helpful-only,0.95,0.2527,0.2840,0.7770,0.6413,0.1755,0.6647,0.1972,0.2911,0.0989,0.0826,0.2079,0.7734,0.0310,0.2195,0.1338,0.0056,0.1507,0.4897,0.2399,0.0046,0.4451,0.2280,0.2342,0.3131,0.0150,0.0067,0.7022,0.0037,0.0199,0.0007,0.1887,0.2552,0.6228,NA,0.7357,NA,0.0261,0.0258,0.3860,0.1428,0.2085,0.1694,0.9243,0.0000,0.0027,0.0023,NA,0.2247,NA,0.0524,0.2195
bm25_orig_RC1_2,misinfo-qrels-graded.harmful-only,0.95,0.0656,0.0000,0.0391,NA,0.0000,NA,0.0428,0.0032,0.1228,0.0278,0.0000,NA,NA,0.0571,0.0663,0.0000,0.0000,0.3029,0.0000,0.6438,0.0670,NA,0.2049,NA,NA,0.0084,NA,0.0432,0.0002,NA,0.0003,0.0527,NA,NA,NA,NA,NA,NA,0.1307,0.0002,0.0025,0.0000,NA,0.0000,0.0153,0.0802,NA,0.0064,NA,0.1461,0.0346
bm25_orig_RC1_3,misinfo-qrels-graded.helpful-only,0.95,0.2305,0.2520,0.3046,0.2635,0.2217,0.5889,0.0044,0.2387,0.0254,0.1993,0.0085,0.4048,0.0876,0.0826,0.2211,0.0841,0.6681,0.7308,0.5085,0.0267,0.4118,0.1596,0.2253,0.4181,0.0100,0.0011,0.1847,0.0001,0.0000,0.0014,0.1350,0.0398,0.7742,NA,0.4150,NA,0.0959,0.0028,0.5695,0.0336,0.0478,0.0201,0.4289,0.0000,0.5255,0.0116,NA,0.0965,NA,0.3183,0.7561
bm25_orig_RC1_3,misinfo-qrels-graded.harmful-only,0.95,0.0501,0.0000,0.0436,NA,0.0000,NA,0.0366,0.0112,0.0137,0.0173,0.0000,NA,NA,0.0508,0.0629,0.0000,0.0000,0.2063,0.0000,0.2044,0.0624,NA,0.2051,NA,NA,0.0219,NA,0.0152,0.0097,NA,0.0005,0.0001,NA,NA,NA,NA,NA,NA,0.1307,0.0000,0.0004,0.0000,NA,0.0000,0.2432,0.1282,NA,0.0000,NA,0.0952,0.0453
bm25_orig_RC1_4,misinfo-qrels-graded.helpful-only,0.95,0.2242,0.3473,0.1849,0.3590,0.1401,0.1176,0.6538,0.0522,0.2258,0.2601,0.0627,0.3582,0.1366,0.0428,0.0341,0.3907,0.0914,0.3904,0.1786,0.0852,0.1280,0.1447,0.1107,0.3803,0.0000,0.0002,0.1484,0.0677,0.0000,0.0046,0.2222,0.0178,0.7719,NA,0.1362,NA,0.0000,0.0579,0.2201,0.0539,0.4633,0.2167,0.6303,0.0000,0.4934,0.0121,NA,0.7541,NA,0.3421,0.8247
