run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
minilm_layman_CLEF,136005,0.8688,0.7084,0.6842,0.5696,0.4610,0.2104,0.1661,0.1747,0.2007
minilm_layman_CLEF,136006,0.0000,0.0663,0.0514,0.0601,0.0462,0.0530,0.0576,0.1192,0.1452
minilm_layman_CLEF,137004,0.5996,0.5225,0.5396,0.5004,0.4764,0.3010,0.1914,0.1691,0.1818
minilm_layman_CLEF,137005,0.3274,0.4619,0.5162,0.4298,0.4212,0.3422,0.2865,0.2736,0.3809
minilm_layman_CLEF,137006,0.4704,0.5085,0.4866,0.4212,0.4613,0.4935,0.3958,0.3577,0.3929
minilm_layman_CLEF,138004,0.8304,0.7569,0.7252,0.6385,0.6537,0.4831,0.3006,0.2079,0.2190
minilm_layman_CLEF,138005,0.5148,0.4321,0.3350,0.3123,0.2879,0.1754,0.1449,0.1597,0.2190
minilm_layman_CLEF,138006,0.5296,0.5188,0.5620,0.5367,0.4604,0.4103,0.3140,0.2518,0.2955
minilm_layman_CLEF,139004,0.2766,0.2473,0.2378,0.2303,0.2366,0.1382,0.1016,0.1023,0.1056
minilm_layman_CLEF,139005,0.3392,0.2532,0.1963,0.1805,0.1501,0.0657,0.0461,0.0885,0.0903
minilm_layman_CLEF,139006,0.0000,0.0331,0.0487,0.0914,0.0935,0.0538,0.0515,0.0681,0.0698
minilm_layman_CLEF,140004,0.1726,0.3229,0.3627,0.3352,0.3273,0.3084,0.2970,0.3130,0.3989
minilm_layman_CLEF,140005,0.1918,0.2003,0.1766,0.1644,0.1840,0.2363,0.2200,0.2497,0.3142
minilm_layman_CLEF,140006,0.2382,0.1877,0.2604,0.3011,0.2661,0.2689,0.2417,0.2825,0.3471
minilm_layman_CLEF,141004,0.3392,0.3352,0.3049,0.3212,0.2698,0.2008,0.1982,0.2254,0.2500
minilm_layman_CLEF,141005,0.1504,0.1368,0.1060,0.1227,0.1176,0.1519,0.1533,0.2146,0.2492
minilm_layman_CLEF,141006,0.0000,0.0000,0.0238,0.0198,0.0382,0.1086,0.1308,0.1983,0.2279
minilm_layman_CLEF,142004,0.6813,0.6235,0.5478,0.5054,0.4710,0.4111,0.3253,0.2834,0.3283
minilm_layman_CLEF,142005,0.4004,0.2946,0.2946,0.2784,0.2604,0.3188,0.2404,0.2472,0.2878
minilm_layman_CLEF,142006,0.5222,0.4128,0.4337,0.4284,0.4236,0.3946,0.3097,0.2751,0.3239
minilm_layman_CLEF,143004,0.1800,0.1831,0.2087,0.2402,0.2771,0.2784,0.2857,0.3304,0.4217
minilm_layman_CLEF,143005,0.3496,0.3326,0.2809,0.2338,0.2139,0.1873,0.1694,0.1761,0.2261
minilm_layman_CLEF,143006,0.4048,0.3961,0.4638,0.4376,0.5106,0.4835,0.3877,0.4025,0.4346
minilm_layman_CLEF,144004,0.3200,0.2468,0.2375,0.2148,0.2221,0.2017,0.1800,0.1965,0.2499
minilm_layman_CLEF,144005,0.3738,0.3111,0.2642,0.2367,0.2398,0.1958,0.1810,0.2019,0.2305
minilm_layman_CLEF,144006,0.0848,0.0942,0.1167,0.1145,0.0880,0.0859,0.0953,0.1191,0.1679
minilm_layman_CLEF,145004,0.7227,0.5474,0.4928,0.4949,0.4709,0.3612,0.2898,0.2642,0.3103
minilm_layman_CLEF,145005,0.6164,0.6183,0.5241,0.4701,0.4660,0.4317,0.3070,0.2542,0.3102
minilm_layman_CLEF,145006,0.8304,0.5389,0.4844,0.5036,0.4551,0.3594,0.2860,0.2564,0.3195
minilm_layman_CLEF,146004,0.4566,0.4396,0.4306,0.3909,0.3817,0.3049,0.2270,0.2214,0.2345
minilm_layman_CLEF,146005,0.2160,0.2527,0.2857,0.3057,0.2936,0.2356,0.1930,0.2018,0.2345
minilm_layman_CLEF,146006,0.2544,0.3442,0.2668,0.2882,0.2776,0.2324,0.2166,0.2165,0.2898
minilm_layman_CLEF,147004,0.1461,0.0948,0.1177,0.1147,0.1693,0.2208,0.1842,0.2091,0.2547
minilm_layman_CLEF,147005,0.0000,0.1646,0.2183,0.1985,0.2443,0.2362,0.1999,0.2568,0.3570
minilm_layman_CLEF,147006,0.0000,0.1055,0.1249,0.1706,0.2231,0.2214,0.1795,0.2098,0.2719
minilm_layman_CLEF,148004,0.1696,0.2142,0.2115,0.2092,0.1836,0.2585,0.2347,0.2452,0.3061
minilm_layman_CLEF,148005,0.0000,0.1428,0.1569,0.1473,0.1253,0.0911,0.0794,0.1147,0.1318
minilm_layman_CLEF,148006,0.0000,0.0665,0.0516,0.0603,0.1158,0.0830,0.0716,0.1239,0.1616
minilm_layman_CLEF,149004,0.1312,0.1488,0.2538,0.2788,0.3302,0.3275,0.2468,0.2591,0.2759
minilm_layman_CLEF,149005,0.0656,0.0426,0.0548,0.0457,0.0576,0.1034,0.1071,0.1294,0.1534
minilm_layman_CLEF,149006,0.1312,0.1170,0.0907,0.0755,0.0691,0.0576,0.0540,0.0711,0.0750
minilm_layman_CLEF,150004,0.6726,0.4712,0.4338,0.3611,0.3822,0.4679,0.3553,0.3163,0.3544
minilm_layman_CLEF,150005,0.6040,0.4286,0.4017,0.4695,0.4669,0.4986,0.4023,0.4496,0.4877
minilm_layman_CLEF,150006,0.2352,0.2902,0.3396,0.3663,0.3971,0.4306,0.3472,0.3696,0.4783
minilm_layman_CLEF,all,0.1823,0.1687,0.1643,0.1590,0.1520,0.1309,0.1073,0.1085,0.1279
